Computation of isochrones : age = 1.00E+08

Metallicity : Z = 0.02 , no overshooting
 ST       L         R        Teff     Mass    Bol    BC     B-V    V-R    V-I    Mu     Mv     Mb     Mr     Mi     Mj     Mh     Mk     Ml  flag  check

 M6   2.842E-03  1.744E-01   3000.   0.100  11.12  -4.64   2.05   2.14   4.55  19.16  15.76  17.81  13.62  11.21   9.19   8.52   8.13   7.75   0     1
 M5   8.812E-03  2.500E-01   3317.   0.200   9.89  -2.85   1.69   1.34   3.08  15.70  12.74  14.43  11.40   9.66   8.04   7.43   7.14   6.88   0     0
 M3   1.675E-02  3.134E-01   3529.   0.300   9.19  -1.87   1.54   1.05   2.33  13.81  11.06  12.60  10.01   8.74   7.51   6.87   6.64   6.46   0     0
 M2   2.766E-02  3.691E-01   3683.   0.400   8.65  -1.51   1.48   0.96   2.03  12.85  10.15  11.64   9.19   8.13   7.06   6.39   6.19   6.03   0     0
 M1   4.653E-02  4.306E-01   3828.   0.500   8.08  -1.24   1.43   0.90   1.82  11.98   9.32  10.75   8.42   7.50   6.55   5.88   5.71   5.57   0     0
 M0   8.037E-02  5.121E-01   4011.   0.600   7.49  -1.04   1.37   0.86   1.66  11.11   8.53   9.90   7.68   6.87   6.00   5.34   5.19   5.07   0     0
 K6   1.332E-01  6.080E-01   4264.   0.700   6.94  -0.77   1.23   0.76   1.42  10.04   7.71   8.94   6.95   6.29   5.52   4.89   4.78   4.67   0     0
 K4   2.322E-01  7.055E-01   4637.   0.800   6.34  -0.56   1.04   0.63   1.16   8.82   6.89   7.93   6.26   5.73   4.99   4.43   4.33   4.23   0     0
 K2   3.999E-01  7.950E-01   5009.   0.900   5.75  -0.39   0.87   0.52   0.96   7.62   6.14   7.01   5.62   5.18   4.56   4.08   3.99   3.92   0     0
 K0   6.594E-01  8.945E-01   5357.   1.000   5.20  -0.29   0.79   0.45   0.84   6.68   5.50   6.29   5.05   4.65   4.13   3.69   3.62   3.56   0     0
 G7   1.037E+00  1.004E+00   5672.   1.100   4.71  -0.23   0.69   0.40   0.78   5.86   4.94   5.63   4.53   4.16   3.72   3.33   3.27   3.22   0     0
 G1   1.625E+00  1.130E+00   5980.   1.200   4.22  -0.19   0.59   0.36   0.71   5.01   4.41   5.00   4.05   3.69   3.34   3.03   2.98   2.93   0     0
 F8   2.405E+00  1.252E+00   6262.   1.300   3.80  -0.16   0.50   0.31   0.63   4.46   3.96   4.46   3.64   3.33   2.99   2.70   2.65   2.61   0     0
 F5   3.419E+00  1.362E+00   6552.   1.400   3.42  -0.13   0.40   0.26   0.52   3.94   3.55   3.95   3.29   3.03   2.77   2.56   2.52   2.48   0     0
 F3   4.628E+00  1.443E+00   6872.   1.500   3.09  -0.11   0.35   0.23   0.46   3.57   3.20   3.55   2.97   2.73   2.56   2.39   2.36   2.33   0     0
 F0   6.170E+00  1.489E+00   7291.   1.600   2.77  -0.10   0.29   0.18   0.39   3.20   2.87   3.16   2.69   2.48   2.35   2.23   2.20   2.17   0     0
 A8   8.100E+00  1.526E+00   7725.   1.700   2.48  -0.11   0.21   0.12   0.29   2.88   2.59   2.80   2.48   2.30   2.17   2.09   2.06   2.03   0     0
 A7   1.031E+01  1.564E+00   8127.   1.800   2.22  -0.13   0.17   0.08   0.22   2.61   2.35   2.52   2.26   2.13   1.99   1.92   1.89   1.87   0     0
 A4   1.288E+01  1.608E+00   8482.   1.900   1.97  -0.16   0.11   0.04   0.11   2.33   2.14   2.25   2.09   2.03   1.90   1.86   1.84   1.83   0     0
 A3   1.594E+01  1.653E+00   8829.   2.000   1.74  -0.19   0.08   0.03   0.07   2.06   1.93   2.01   1.91   1.86   1.78   1.76   1.75   1.74   0     0
 A1   2.353E+01  1.762E+00   9453.   2.200   1.32  -0.32   0.00   0.00  -0.01   1.62   1.64   1.64   1.64   1.65   1.65   1.66   1.66   1.66   0     0
 A0   3.973E+01  1.944E+00  10217.   2.500   0.75  -0.48  -0.04  -0.01  -0.05   1.09   1.24   1.20   1.24   1.29   1.34   1.36   1.37   1.39   0     0
 B9   5.460E+01  2.073E+00  10688.   2.700   0.41  -0.57  -0.06  -0.01  -0.07   0.76   0.98   0.92   0.99   1.04   1.12   1.15   1.17   1.19   0     0
 B9   8.470E+01  2.294E+00  11330.   3.000  -0.07  -0.68  -0.07  -0.01  -0.08   0.32   0.61   0.54   0.63   0.69   0.81   0.84   0.87   0.90   0     0
 B8   1.647E+02  2.721E+00  12242.   3.500  -0.79  -0.85  -0.09  -0.02  -0.09  -0.34   0.06  -0.03   0.08   0.15   0.31   0.35   0.39   0.42   0     0
 B8   2.989E+02  3.305E+00  12870.   4.000  -1.44  -0.98  -0.11  -0.02  -0.09  -0.94  -0.46  -0.56  -0.43  -0.36  -0.17  -0.12  -0.07  -0.04   0     0
 B7   9.001E+02  5.290E+00  13429.   5.000  -2.64  -1.11  -0.12  -0.02  -0.09  -2.08  -1.53  -1.65  -1.50  -1.44  -1.23  -1.17  -1.11  -1.10   1     0
 B5   2.069E+03  6.290E+00  15443.   6.000  -3.54  -1.46  -0.14  -0.04  -0.11  -2.80  -2.08  -2.22  -2.04  -1.97  -1.72  -1.66  -1.56  -1.58   1     0
 B5   3.630E+03  6.980E+00  16900.   7.000  -4.15  -1.69  -0.16  -0.05  -0.13  -3.29  -2.46  -2.63  -2.42  -2.34  -2.07  -2.00  -1.89  -1.91   1     0
